"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"151","Naive up to 3 lags","Light GBM","p = 1","Scenario 3",0.314051693978737,53.4356816612462,"30",181
"152","Naive up to 3 lags","Random Forests","p = 1","Scenario 3",0.25737876951673,44.6614287237674,"30",181
"153","Naive up to 3 lags","Lasso","p = 1","Scenario 3",0.397983480800464,41.5186816916084,"30",181
"154","Naive up to 3 lags","Light GBM","p = 1","Scenario 3",0.463216965421585,42.0077413439728,"60",151
"155","Naive up to 3 lags","Random Forests","p = 1","Scenario 3",0.297433106048028,45.411206304657,"60",151
"156","Naive up to 3 lags","Lasso","p = 1","Scenario 3",0.213179574916433,48.0708545772109,"60",151
"157","Naive up to 6 lags","Light GBM","p = 1","Scenario 3",0.371446064266624,50.7064601372749,"30",181
"158","Naive up to 6 lags","Random Forests","p = 1","Scenario 3",0.269577111739649,44.3434535897513,"30",181
"159","Naive up to 6 lags","Lasso","p = 1","Scenario 3",0.312746726613769,42.4535689988305,"30",181
"160","Naive up to 6 lags","Light GBM","p = 1","Scenario 3",0.415275358809086,48.491661148944,"60",151
"161","Naive up to 6 lags","Random Forests","p = 1","Scenario 3",0.312380453572313,44.9125337458172,"60",151
"162","Naive up to 6 lags","Lasso","p = 1","Scenario 3",0.0724422103204035,52.8304527871154,"60",151
"163","All climate time series","Light GBM","p = 1","Scenario 3",0.000325714343750306,70.8436591266686,"30",181
"164","All climate time series","Random Forests","p = 1","Scenario 3",0.00465799348422718,53.2968868221682,"30",181
"165","All climate time series","Lasso","p = 1","Scenario 3",0.043183475287491,49.5644108127567,"30",181
"166","All climate time series","Light GBM","p = 1","Scenario 3",0.00591051945195156,60.6744630853608,"60",151
"167","All climate time series","Random Forests","p = 1","Scenario 3",0.00958835144437309,55.1416823602973,"60",151
"168","All climate time series","Lasso","p = 1","Scenario 3",0.0395101285204053,52.8777754983136,"60",151
"169","Time series reconstruction","Light GBM","p = 3","Scenario 3",0.171299421434758,65.2419824649222,"30",181
"170","Time series reconstruction","Lasso","p = 3","Scenario 3",0.166424368179014,65.4088336316285,"30",181
"171","Time series reconstruction","Random Forests","p = 3","Scenario 3",0.215511061755067,62.7874591197336,"30",181
"172","Time series reconstruction","Light GBM","p = 3","Scenario 3",0.175699295324389,70.0743826487422,"60",151
"173","Time series reconstruction","Lasso","p = 3","Scenario 3",0.146842726948683,72.1363697204888,"60",151
"174","Time series reconstruction","Random Forests","p = 3","Scenario 3",0.207318148486123,67.9403128264144,"60",151
"175","Naive up to 3 lags","Light GBM","p = 3","Scenario 3",0.194885722530938,67.8497652065893,"30",181
"176","Naive up to 3 lags","Random Forests","p = 3","Scenario 3",0.265548913876662,60.6465370730965,"30",181
"177","Naive up to 3 lags","Lasso","p = 3","Scenario 3",0.191553025298477,64.6459279188426,"30",181
"178","Naive up to 3 lags","Light GBM","p = 3","Scenario 3",0.187005161463964,73.6076743970601,"60",151
"179","Naive up to 3 lags","Random Forests","p = 3","Scenario 3",0.262838967501972,65.4945830762301,"60",151
"180","Naive up to 3 lags","Lasso","p = 3","Scenario 3",0.198662751984685,69.5308154438225,"60",151
"181","Naive up to 6 lags","Light GBM","p = 3","Scenario 3",0.147843902927596,68.8549541514779,"30",181
"182","Naive up to 6 lags","Random Forests","p = 3","Scenario 3",0.218001155130877,62.7992501978865,"30",181
"183","Naive up to 6 lags","Lasso","p = 3","Scenario 3",0.116934308486502,69.4407668701938,"30",181
"184","Naive up to 6 lags","Light GBM","p = 3","Scenario 3",0.143844906542215,74.5225619778889,"60",151
"185","Naive up to 6 lags","Random Forests","p = 3","Scenario 3",0.224146962194023,67.3210413846139,"60",151
"186","Naive up to 6 lags","Lasso","p = 3","Scenario 3",0.1225260692257,75.2347150366669,"60",151
"187","All climate time series","Light GBM","p = 3","Scenario 3",0.137880886699073,66.6312430405018,"30",181
"188","All climate time series","Random Forests","p = 3","Scenario 3",0.185029927356389,65.4015759234338,"30",181
"189","All climate time series","Lasso","p = 3","Scenario 3",0.167338876414074,67.1054050082243,"30",181
"190","All climate time series","Light GBM","p = 3","Scenario 3",0.152167801933746,71.5215620791131,"60",151
"191","All climate time series","Random Forests","p = 3","Scenario 3",0.203352228424316,70.0491340480392,"60",151
