"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Phi[1,5]",0.00424536668349194,0.0188230345295607,-0.0275356529689037,-0.00741238657222592,0.00112057589958406,0.0136776725750641,0.0540064530801353,1.65302771186744,7
"Phi[2,5]",0.0618857992206723,0.0142877041653233,0.0371184629049133,0.0517373198448902,0.0594444395686069,0.0710985408680767,0.0887267143017728,1.67363308926204,6
"Phi[3,5]",0.0194274030063698,0.0112150710911141,-0.00534406767395053,0.0130775632740893,0.0194859976282769,0.0272311820301196,0.0393260951584796,2.67314136823877,4
"Phi[4,5]",0.394696905956794,0.202984804443352,0.00560256189504246,0.24967489957439,0.394650178102946,0.530000414663242,0.804399799042256,1.02900732412743,75
"Phi[5,5]",0.658624908848532,0.0815123780563508,0.490900060135386,0.598659179310773,0.675784428518037,0.721457414279636,0.783535901178222,1.04799051295446,63
"Phi[6,5]",0.00156668959314287,0.0223979802619245,-0.0379928411356525,-0.0153909879151591,0.00148343015619295,0.0151249597117267,0.0490244640454028,1.15462901500296,57
"Phi[7,5]",-0.00113231666354428,0.0107664400182562,-0.0194745068510947,-0.00883232700265822,-0.00179195013167,0.00485918123477439,0.0224480701187602,1.10567837478558,300
"Phi[8,5]",-0.00323265742106669,0.0268923844498705,-0.0485361630537568,-0.0244714979449527,-0.00584224599780824,0.0174134214673655,0.0490022143548502,1.55288103596397,7
"Phi[9,5]",0.0358908997193557,0.0184203490230029,0.0018857587046157,0.0225185538779279,0.0345404352757479,0.051750742106977,0.0681540303111866,1.53111694405268,7
"Phi[10,5]",-0.0100793661420782,0.0229097118305776,-0.0521957407627684,-0.0266037944058529,-0.0110015070511019,0.004272807201187,0.0356200217254703,1.20340241895673,16
"Phi[1,6]",0.455825998789077,0.15415710285533,0.219254096123914,0.328555997150788,0.418843644967796,0.609476639427961,0.721370700702893,2.82511786630361,4
"Phi[2,6]",0.439922950687191,0.164856855565145,0.202737043668224,0.289579194414264,0.409392524301636,0.612605391035301,0.703213901185761,2.5533878091248,4
"Phi[3,6]",0.429864489070431,0.150612582790873,0.221003747046248,0.294458320451139,0.397749711236775,0.603917722539957,0.667816251582104,3.00032226520116,4
"Phi[4,6]",0.359656537523489,0.502410433426476,-0.820283670663569,0.0527468528341778,0.490079447181754,0.773837289831695,0.980206337445809,1.00154385484219,1700
"Phi[5,6]",0.150017734886632,0.277531287067026,-0.359835226649639,-0.041070464071436,0.138691696687951,0.34305212238315,0.703916285608243,1.02342827559923,210
"Phi[6,6]",0.28751390439482,0.0857743992731672,0.125457611336091,0.22666014618002,0.284916316846993,0.344228707022546,0.466781846878826,1.27675194556551,11
"Phi[7,6]",-0.00876892311895207,0.0329443959457451,-0.0679733173179519,-0.0305420579705917,-0.00959950271633133,0.0118231569483034,0.0635559497411472,1.10579140001885,26
"Phi[8,6]",-0.0306873310883729,0.0893070373630783,-0.195795664055485,-0.0926444340855377,-0.0358508972049951,0.0316309727903373,0.15313256309285,1.01329770044584,340
"Phi[9,6]",0.386839449040947,0.118700184759121,0.167563471119162,0.299499187458181,0.369193157779764,0.493514777776769,0.606701488100546,2.20002855729577,5
"Phi[10,6]",0.0240332684442917,0.0842661542231735,-0.146209787461474,-0.0299471034387876,0.0218754316504227,0.079325977201365,0.19693493262621,1.00743182392234,2200
"Phi[1,7]",-0.0135702277922787,0.289537991342107,-0.697141307381619,-0.179040245174931,0.0321494236190106,0.19426729371693,0.447953443253421,1.71857342371154,6
"Phi[2,7]",-0.125790710756715,0.303701466398309,-0.937308218552091,-0.233351611958866,-0.0775835571989311,0.0743225903492166,0.315964344891021,1.70792681850081,6
"Phi[3,7]",-0.0293392465979713,0.27951502563159,-0.73995621247079,-0.156825190943476,0.0264246624762532,0.180235935568464,0.32971146163223,1.81667225149984,6
"Phi[4,7]",0.178752666147857,0.558089377225443,-0.924076003491703,-0.259687746428274,0.268426256842159,0.658648413279856,0.964984778452497,1.00136299667304,1900
"Phi[5,7]",0.172502862731422,0.513484456350526,-0.890508758441134,-0.196335781795939,0.255036132223228,0.588501183439678,0.941235298404181,1.01082484979005,200
"Phi[6,7]",-0.166136999493577,0.205965842058992,-0.589282221619277,-0.293304027496755,-0.15681944436276,-0.0290961937010283,0.220576857187723,1.05964267331902,45
"Phi[7,7]",0.092400225023459,0.0801924799056906,-0.0743647449892424,0.0374141239689916,0.0993152945865339,0.151155579216737,0.23525311510817,1.01274720543113,210
"Phi[8,7]",0.0836142020686969,0.224736446222579,-0.365302648242449,-0.0613719287878712,0.0859121577327273,0.229856775249426,0.53315976711426,1.02767651327325,92
"Phi[9,7]",-0.0959160465038325,0.240744831505974,-0.628758124819198,-0.237176019558284,-0.0799083647183403,0.0723984976629846,0.338299519508454,1.51119713601524,8
"Phi[10,7]",-0.0996646142576176,0.207285190279406,-0.514512512512714,-0.236952414643593,-0.0998163843469555,0.0411944379544941,0.303371078935515,1.0105574758946,240
"Phi[1,8]",0.33011662708589,0.0975264218440716,0.100968208244511,0.263544947171562,0.340460387250992,0.404050695268926,0.494679410006926,1.43443325896802,9
"Phi[2,8]",0.473095920684723,0.0920666640994411,0.295677208456584,0.40965512576872,0.477284997771241,0.542220355560663,0.638147166983386,1.16740713205248,16
"Phi[3,8]",0.376275338515256,0.0850662555849482,0.17501901019666,0.328321605505947,0.382933993355322,0.441114556519778,0.50662361303984,1.31644516617843,11
"Phi[4,8]",-0.233754140881499,0.516513224013233,-0.959415437211204,-0.664126316275968,-0.314497482682588,0.128766963740613,0.861678696864474,1.00408423476965,540
"Phi[5,8]",0.67972842318749,0.232389625066209,0.158172251436899,0.531245768653298,0.724852561010496,0.869983548664032,0.988240890276762,1.07601631107477,34
"Phi[6,8]",0.116533070272822,0.0765922241431113,-0.0375254656820906,0.0637932626898815,0.118606265085627,0.168150298730818,0.266101631798213,1.15505390398258,17
"Phi[7,8]",0.0526337422838138,0.029332646524578,-0.00497401245673672,0.0320851840220753,0.0534953577214607,0.0736363038398945,0.107285929481886,1.06114233262414,38
"Phi[8,8]",0.095477482296042,0.0856033303498428,-0.0557989154363963,0.0397612339776734,0.0868575227696325,0.144749805935831,0.292188048568925,1.09918484697521,25
"Phi[9,8]",0.364491808775906,0.0827300026068848,0.155706049997776,0.312702412253227,0.374046667427787,0.422690307991187,0.504558734017669,1.19409177483971,20
"Phi[10,8]",-0.0691324557949597,0.0789938115688576,-0.225867613076502,-0.121341331157568,-0.0702551742598978,-0.0185828701037412,0.0874777982342942,1.1147192784694,25
"Phi[1,9]",0.435264764300585,0.112083191165276,0.241635037228395,0.318641423609696,0.479227366041135,0.518830561125126,0.579831099185041,5.47718809771052,3
"Phi[2,9]",0.213643564356162,0.0637264150914412,0.0988971420758255,0.157906945718804,0.214938823810361,0.267333379668906,0.313939244200949,2.38161130856917,4
"Phi[3,9]",0.378426064141444,0.0827252718083207,0.239914941604045,0.281726594731201,0.409774603528035,0.441524997387616,0.492876016507298,5.18714424364447,3
"Phi[4,9]",-0.0354995876996833,0.537873982959969,-0.938973673787072,-0.467483624016028,-0.0443208112217466,0.388838750074462,0.93056545547321,1.0107703099809,190
"Phi[5,9]",-0.317221590780824,0.320504691732012,-0.820727335069871,-0.579696278976826,-0.3637092822809,-0.0590462776458601,0.321040962752236,2.88315308699457,4
"Phi[6,9]",-0.0142932160138075,0.0665747834158068,-0.13958510051845,-0.0618735827818675,-0.0142755677244273,0.0305771265056601,0.11595537999216,1.19980888817805,14
"Phi[7,9]",-0.0551617791459983,0.0286926124143233,-0.110845745636547,-0.0749974795460136,-0.0540728137586186,-0.0366798512398257,0.00482923410550965,1.02484578074781,370
"Phi[8,9]",0.214206419758819,0.0963847569771013,0.0576980607599252,0.129757544104818,0.205351037384231,0.302020366008201,0.3756946695217,2.46753510649641,4
"Phi[9,9]",0.835961101898811,0.0803689010097315,0.666278536772695,0.783508173625915,0.84834984298988,0.891989676250491,0.97118681630903,2.47363085588064,4
"Phi[10,9]",0.0907552436583898,0.0871550553089755,-0.0797453085695431,0.0280895567670178,0.0932833147996205,0.145589017150512,0.270627908629049,1.25044239945851,12
"Phi[1,10]",0.0754783984250514,0.0986430301588614,-0.136830405744946,0.0149735673218638,0.0797543729112446,0.141502590884818,0.263430204756111,1.12907934046933,21
"Phi[2,10]",0.13638618378715,0.0915963169420412,-0.0599384763322929,0.0787546425893045,0.140616471103499,0.201174857217689,0.302519872527056,1.08545665756072,30
"Phi[3,10]",0.0916895305538145,0.0878710545868471,-0.0994728132081466,0.0376399011228473,0.0955106037595788,0.150395156763133,0.256837277861682,1.12078103018643,22
"Phi[4,10]",-0.18321548412172,0.547219077646049,-0.964100942389703,-0.66145435348737,-0.252629162681301,0.234837648301101,0.904627587679932,1.0006840070798,2200
"Phi[5,10]",0.270194234357122,0.258040800306695,-0.243247424769507,0.0983869307227628,0.272525847885303,0.443690870264631,0.763845431347296,1.01905179240386,110
