"","Percent_025","Percent_975","Time","Approach","Type","value"
"204",9.5430275,10.8496483333333,102,"All exogenous time series","Observed",5
"205",8.037685,9.30501666666666,103,"All exogenous time series","Predictions",8.5929
"206",8.037685,9.30501666666666,103,"All exogenous time series","Observed",2
"207",10.8975016666667,13.2172458333333,104,"All exogenous time series","Predictions",12.0773833333333
"208",10.8975016666667,13.2172458333333,104,"All exogenous time series","Observed",1
"209",21.6589866666667,26.1689775,105,"All exogenous time series","Predictions",23.69385
"210",21.6589866666667,26.1689775,105,"All exogenous time series","Observed",3
"211",9.32104666666667,11.3270508333333,106,"All exogenous time series","Predictions",10.33715
"212",9.32104666666667,11.3270508333333,106,"All exogenous time series","Observed",3
"213",11.5704191666667,14.7886825,107,"All exogenous time series","Predictions",12.8495
"214",11.5704191666667,14.7886825,107,"All exogenous time series","Observed",4
"215",10.6683816666667,12.1781333333333,108,"All exogenous time series","Predictions",11.4177166666667
"216",10.6683816666667,12.1781333333333,108,"All exogenous time series","Observed",2
"217",11.70599,14.4831466666667,109,"All exogenous time series","Predictions",12.9712166666667
"218",11.70599,14.4831466666667,109,"All exogenous time series","Observed",11
"219",16.5077116666667,19.6507158333333,110,"All exogenous time series","Predictions",18.0073666666667
"220",16.5077116666667,19.6507158333333,110,"All exogenous time series","Observed",4
"221",12.7459791666667,17.0809116666667,111,"All exogenous time series","Predictions",14.7935333333333
"222",12.7459791666667,17.0809116666667,111,"All exogenous time series","Observed",0
"223",7.34406649170274,8.52098935786436,1,"Naive up to 3 lags","Predictions",7.78090242812743
"224",7.34406649170274,8.52098935786436,1,"Naive up to 3 lags","Observed",10
"225",13.5817158730159,15.7405965277778,2,"Naive up to 3 lags","Predictions",14.7356873015873
"226",13.5817158730159,15.7405965277778,2,"Naive up to 3 lags","Observed",18
"227",30.1399620833333,33.4917919047619,3,"Naive up to 3 lags","Predictions",31.58665
"228",30.1399620833333,33.4917919047619,3,"Naive up to 3 lags","Observed",1
"229",7.48086226190476,9.08285220238095,4,"Naive up to 3 lags","Predictions",8.03870833333334
"230",7.48086226190476,9.08285220238095,4,"Naive up to 3 lags","Observed",4
"231",4.54757352869353,5.40227745892996,5,"Naive up to 3 lags","Predictions",4.8397549034299
"232",4.54757352869353,5.40227745892996,5,"Naive up to 3 lags","Observed",4
"233",7.04326626450819,7.9899233512321,6,"Naive up to 3 lags","Predictions",7.57852546065046
"234",7.04326626450819,7.9899233512321,6,"Naive up to 3 lags","Observed",0
"235",4.52956502566878,5.58242174113468,7,"Naive up to 3 lags","Predictions",5.09184592907093
"236",4.52956502566878,5.58242174113468,7,"Naive up to 3 lags","Observed",4
"237",5.90692932387057,6.39419640762016,8,"Naive up to 3 lags","Predictions",6.16371124569875
"238",5.90692932387057,6.39419640762016,8,"Naive up to 3 lags","Observed",2
