"","rsme","cor","approach"
"134",11.670159027778,0.13115638355962,"Naive up to 6 lags"
"135",11.8579880853286,0.122759206464979,"Naive up to 6 lags"
"136",11.8796492444862,0.127873362686779,"Naive up to 6 lags"
"137",11.8549962861947,0.124660025559568,"Naive up to 6 lags"
"138",11.7657535207271,0.128720708255603,"Naive up to 6 lags"
"139",11.928439799696,0.122351354156414,"Naive up to 6 lags"
"140",11.757115786421,0.137802150410539,"Naive up to 6 lags"
"141",11.6388782093039,0.14023562237839,"Naive up to 6 lags"
"142",11.6402637777946,0.136338188809032,"Naive up to 6 lags"
"143",11.7230478317272,0.132237160183498,"Naive up to 6 lags"
"144",11.9336809240558,0.113569758694604,"Naive up to 6 lags"
"145",11.8100148325383,0.126246353882575,"Naive up to 6 lags"
"146",11.8110179486109,0.123696771003275,"Naive up to 6 lags"
"147",11.7202071907146,0.130697615584128,"Naive up to 6 lags"
"148",11.7311936500407,0.135167252090055,"Naive up to 6 lags"
"149",11.8275959884654,0.124317778554269,"Naive up to 6 lags"
"150",11.8171898839028,0.134354652726338,"Naive up to 6 lags"
"151",10.5068780146333,0.167596456911426,"Time series reconstruction"
"152",10.568742582658,0.167229312415781,"Time series reconstruction"
"153",10.5775229000594,0.170443851823568,"Time series reconstruction"
"154",10.6203007720671,0.161596422680226,"Time series reconstruction"
"155",10.5198811602901,0.16669721766803,"Time series reconstruction"
"156",10.4933108418813,0.17535955662868,"Time series reconstruction"
"157",10.5237603825586,0.17178001491012,"Time series reconstruction"
"158",10.6170558223311,0.162328547511386,"Time series reconstruction"
"159",10.5351787245974,0.172073655671893,"Time series reconstruction"
"160",10.5664327774709,0.165060180216258,"Time series reconstruction"
"161",10.5610841671282,0.167797455632383,"Time series reconstruction"
"162",10.4808489878572,0.172472060007158,"Time series reconstruction"
"163",10.5768568663456,0.164837697410475,"Time series reconstruction"
"164",10.6375953322446,0.159759967735863,"Time series reconstruction"
"165",10.5768397861905,0.163917273753428,"Time series reconstruction"
"166",10.459756968907,0.172915366203864,"Time series reconstruction"
"167",10.6533369806753,0.159433026075414,"Time series reconstruction"
"168",10.5640350399786,0.171307172097325,"Time series reconstruction"
"169",10.6299923648,0.161469876067927,"Time series reconstruction"
"170",10.5097679668967,0.174543606926875,"Time series reconstruction"
"171",10.5414876656416,0.170878386549348,"Time series reconstruction"
"172",10.5895758554566,0.16690668255278,"Time series reconstruction"
"173",10.5417013347975,0.171264689367079,"Time series reconstruction"
"174",10.5280877098192,0.168563048058123,"Time series reconstruction"
"175",10.5064110598576,0.172981389479228,"Time series reconstruction"
"176",10.5709861264011,0.164390592453169,"Time series reconstruction"
"177",10.6206515812751,0.162551757824002,"Time series reconstruction"
"178",10.527198051849,0.169524346987581,"Time series reconstruction"
"179",10.643087352087,0.159561624269916,"Time series reconstruction"
"180",10.4830811775086,0.178661694928805,"Time series reconstruction"
"181",10.5755944804585,0.168237860290368,"Time series reconstruction"
"182",10.6026493242304,0.162507684345418,"Time series reconstruction"
"183",10.5960097798919,0.166209283159628,"Time series reconstruction"
"184",10.4722224276222,0.17507159697036,"Time series reconstruction"
"185",10.5198805699388,0.169623779220348,"Time series reconstruction"
"186",10.4646205007193,0.181227837276935,"Time series reconstruction"
"187",10.635119192569,0.16203766692689,"Time series reconstruction"
"188",10.6303564191756,0.160283761089955,"Time series reconstruction"
"189",10.4367256833319,0.179570789417298,"Time series reconstruction"
"190",10.5724600532983,0.170918167861386,"Time series reconstruction"
"191",10.5197582740082,0.175475747434341,"Time series reconstruction"
"192",10.5585794684342,0.170439408442095,"Time series reconstruction"
"193",10.4322134755698,0.172628757475933,"Time series reconstruction"
"194",10.5376029353318,0.169575031889788,"Time series reconstruction"
"195",10.4973302382311,0.174347726723997,"Time series reconstruction"
"196",10.5782721617464,0.161688001486367,"Time series reconstruction"
"197",10.5621842149359,0.168277887056654,"Time series reconstruction"
"198",10.561983321065,0.16502396452243,"Time series reconstruction"
"199",10.6068019433204,0.161980489780097,"Time series reconstruction"
"200",10.6080793662336,0.161154452231066,"Time series reconstruction"
